city_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
127,Rokytne,UA,51.2796,27.214,35.19,91,98,7.23,overcast clouds
128,Plouzane,FR,48.3833,-4.6167,53.78,87,90,14.97,overcast clouds
129,Mananjary,MG,-21.2167,48.3333,74.1,90,24,4.0,few clouds
130,Salinas,US,36.6777,-121.6555,66.2,72,1,0.0,clear sky
131,Syamzha,RU,60.0158,41.0614,32.07,95,100,5.91,overcast clouds
132,Tasiilaq,GL,65.6145,-37.6368,30.36,95,100,6.13,light snow
133,Capivari,BR,-22.995,-47.5078,68.58,86,100,10.36,overcast clouds
134,Bengkulu,ID,-3.8004,102.2655,83.3,66,100,2.39,overcast clouds
135,Cayenne,GF,4.9333,-52.3333,81.09,85,0,1.01,clear sky
136,Luderitz,NA,-26.6481,15.1594,66.83,50,0,18.59,clear sky
137,Maceio,BR,-9.6658,-35.7353,78.24,88,40,2.3,scattered clouds
138,Icatu,BR,-2.7758,-44.0658,81.03,85,5,6.51,clear sky
139,Bathsheba,BB,13.2167,-59.5167,81.21,78,75,16.11,broken clouds
140,Venice,US,27.0998,-82.4543,73.99,96,75,4.61,broken clouds
141,Marau,BR,-28.4492,-52.2,59.68,86,73,6.67,broken clouds
142,Kamenka,RU,51.3223,42.7678,31.1,51,100,12.88,overcast clouds
143,Nouakchott,MR,18.0858,-15.9785,71.53,59,92,15.08,overcast clouds
144,Olafsvik,IS,64.8945,-23.7142,38.64,75,100,8.9,overcast clouds
145,Lagoa,PT,39.05,-27.9833,67.59,86,48,12.84,scattered clouds
146,Semey,KZ,50.4111,80.2275,26.82,80,0,11.18,clear sky
147,Royan,FR,45.6285,-1.0281,44.47,79,0,3.44,clear sky
148,Naifaru,MV,5.4444,73.3657,82.13,78,28,21.18,scattered clouds
149,Saint-Raymond,CA,45.467,-73.6095,46.4,61,100,7.83,overcast clouds
150,Constitucion,CL,-35.3333,-72.4167,51.69,93,5,4.27,clear sky
151,Necochea,AR,-38.5473,-58.7368,61.03,72,88,18.28,overcast clouds
152,Sisimiut,GL,66.9395,-53.6735,11.03,77,14,9.93,few clouds
153,Chardara,KZ,41.2547,67.9692,50.56,57,0,10.54,clear sky
154,San Clemente,US,33.427,-117.612,83.64,40,0,1.01,clear sky
155,The Valley,AI,18.217,-63.0578,81.82,72,11,20.0,few clouds
156,Hithadhoo,MV,-0.6,73.0833,82.49,76,38,17.85,scattered clouds
157,Kathmandu,NP,27.7167,85.3167,57.42,82,20,0.0,mist
158,Povenets,RU,62.8487,34.8262,35.15,94,100,4.63,overcast clouds
159,Port-Cartier,CA,50.0334,-66.8654,30.96,43,17,4.05,few clouds
160,Comodoro Rivadavia,AR,-45.8667,-67.5,55.26,67,0,4.61,clear sky
161,Saint Anthony,US,45.0205,-93.218,37.33,88,90,1.99,light snow
162,Pabrade,LT,55.0,25.7833,45.03,77,100,13.62,overcast clouds
163,Marica,BR,-22.9194,-42.8186,67.86,93,100,5.82,overcast clouds
164,Marzuq,YE,14.4,46.4667,63.28,43,9,1.54,clear sky
165,Mount Darwin,ZW,-16.7725,31.5838,68.36,75,100,4.05,overcast clouds
166,Nyuksenitsa,RU,60.4128,44.2397,32.92,92,85,8.95,overcast clouds
167,Imbituba,BR,-28.24,-48.6703,65.82,84,100,4.54,overcast clouds
168,Vestmannaeyjar,IS,63.4427,-20.2734,39.24,68,100,16.31,overcast clouds
169,Vila Do Maio,CV,15.1333,-23.2167,74.19,74,85,12.03,overcast clouds
170,Muzhi,RU,65.3667,64.6667,17.83,97,100,4.32,overcast clouds
171,Zyryanovsk,KZ,49.7386,84.2719,18.68,88,100,1.14,overcast clouds
172,Geraldton,AU,-28.7667,114.6,88.21,14,0,9.22,clear sky
173,Maniitsoq,GL,65.4167,-52.9,17.42,58,0,6.73,clear sky
174,Sanica,BA,44.6142,16.6411,39.94,96,74,0.34,broken clouds
175,Nokaneng,BW,-19.6667,22.2667,75.29,44,69,1.52,broken clouds
176,Nantucket,US,41.2835,-70.0995,53.71,65,1,14.97,clear sky
177,Harper,LR,4.375,-7.7169,77.95,85,96,3.65,overcast clouds
178,Najran,SA,17.4924,44.1277,57.49,34,0,0.54,clear sky
179,Rio Gallegos,AR,-51.6226,-69.2181,46.45,71,0,10.36,clear sky
180,Delvada,IN,20.7667,71.0333,74.39,44,78,9.71,broken clouds
181,Lithakia,GR,37.7167,20.8333,58.59,59,93,8.01,overcast clouds
182,Bambous Virieux,MU,-20.3428,57.7575,79.21,94,40,3.44,scattered clouds
183,Aswan,EG,24.0934,32.907,71.47,35,99,8.57,overcast clouds
184,Colares,PT,38.7992,-9.4469,58.28,76,12,7.0,few clouds
185,Coihaique,CL,-45.5752,-72.0662,46.35,71,0,2.3,clear sky
186,Kudahuvadhoo,MV,2.6708,72.8944,82.67,78,55,20.54,broken clouds
187,Hambantota,LK,6.1241,81.1185,83.07,72,83,19.77,broken clouds
188,Rovaniemi,FI,66.5,25.7167,31.41,100,90,10.36,light snow
189,Caravelas,BR,-17.7125,-39.2481,73.0,94,100,5.57,overcast clouds
190,Yenotayevka,RU,47.2456,47.0281,31.73,54,100,9.1,overcast clouds
191,Taltal,CL,-25.4,-70.4833,63.52,70,0,5.08,clear sky
192,Puerto Carreno,CO,6.189,-67.4859,80.1,63,19,5.73,few clouds
193,Souillac,MU,-20.5167,57.5167,79.36,94,40,3.44,scattered clouds
194,Severodvinsk,RU,64.5635,39.8302,35.71,92,98,10.4,overcast clouds
195,Lagos,NG,6.5833,3.75,76.06,92,99,2.26,overcast clouds
196,Vestmanna,FO,62.1564,-7.1664,41.92,75,75,26.46,broken clouds
197,Carballo,ES,43.213,-8.691,50.9,92,58,2.1,broken clouds
198,San Carlos De Bariloche,AR,-41.1456,-71.3082,52.75,76,91,5.57,overcast clouds
199,Harsany,HU,47.9667,20.75,38.01,73,5,2.51,clear sky
200,Narasannapeta,IN,18.4167,84.05,75.51,93,100,8.88,moderate rain
201,Viedma,AR,-40.8135,-62.9967,62.55,75,100,15.35,overcast clouds
202,Velingara,SN,13.15,-14.1167,77.22,62,100,3.85,overcast clouds
203,Goderich,CA,43.7501,-81.7165,53.04,95,100,18.59,light rain
204,Antofagasta,CL,-23.65,-70.4,61.88,78,45,2.26,scattered clouds
205,Cap Malheureux,MU,-19.9842,57.6142,79.47,67,2,5.99,clear sky
206,Saint-Pierre,RE,-21.3393,55.4781,77.29,58,0,3.44,clear sky
207,Sao Felix Do Xingu,BR,-6.6447,-51.995,74.91,90,97,0.83,overcast clouds
208,Bilma,NE,18.6853,12.9164,73.02,19,33,10.11,scattered clouds
209,Cockburn Town,TC,21.4612,-71.1419,82.4,75,66,19.91,broken clouds
210,Montepuez,MZ,-13.1256,38.9997,70.36,91,56,3.98,broken clouds
211,Abu Samrah,SY,35.3029,37.1841,51.01,50,0,4.54,clear sky
212,Carutapera,BR,-1.195,-46.02,78.42,78,6,6.89,clear sky
213,Ilheus,BR,-14.7889,-39.0494,72.34,90,34,1.7,scattered clouds
214,High Rock,BS,26.6208,-78.2833,77.02,78,100,15.23,overcast clouds
215,Monte Santo,BR,-10.4378,-39.3328,70.86,82,16,7.11,few clouds
216,Razole,IN,16.4833,81.8333,80.89,93,100,9.15,heavy intensity rain
217,Ambilobe,MG,-13.2,49.05,75.25,84,90,4.18,overcast clouds
218,Matagami,CA,49.7502,-77.6328,34.68,53,100,12.28,overcast clouds
219,Clyde River,CA,70.4692,-68.5914,1.92,95,73,9.69,broken clouds
220,Lahijan,IR,37.2061,50.0029,49.35,95,100,3.27,overcast clouds
