City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
656,Quelimane,MZ,76.95,broken clouds,-17.8786,36.8883,Hotel Flamingo
660,Puerto Ayacucho,VE,80.17,broken clouds,5.6639,-67.6236,Posada Turistica Manapiare
661,Cabedelo,BR,77.67,few clouds,-6.9811,-34.8339,Hotel Pigalle
662,Puerto Narino,CO,78.75,light rain,-3.7703,-70.3831,Eware Refugio Amazonico
663,Sharjah,AE,76.98,clear sky,25.3573,55.4033,Swiss Belhotel Sharjah
665,Kandi,BJ,76.73,overcast clouds,11.1342,2.9386,Baric Motel De Kandi
667,Marabba,SD,81.0,scattered clouds,12.35,32.1833,
668,Mayumba,GA,77.07,overcast clouds,-3.432,10.6554,LIKWALE LODGE
672,San Juan,AR,76.28,clear sky,-31.5375,-68.5364,Hotel Provincial
678,San-Pedro,CI,76.5,overcast clouds,4.7485,-6.6363,Hotel Maria
690,Anastacio,BR,75.15,overcast clouds,-20.4836,-55.8069,HOTEL ARARAS
697,Kilakarai,IN,81.45,scattered clouds,9.2333,78.7833,Geohomz Jamath Kilakarai
700,Monrovia,LR,77.5,light rain,6.3005,-10.7969,Sunset Inn
702,Belize,BZ,75.52,clear sky,17.25,-88.75,Villa San Juan
704,La Romana,DO,82.13,few clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
713,Djibo,BF,77.05,few clouds,14.1022,-1.6306,Centre Des Ressources DPENA
719,San Andres,CO,82.42,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
723,Dzaoudzi,YT,75.09,light rain,-12.7887,45.2699,Le Rocher
729,Alice Town,BS,77.0,overcast clouds,25.7167,-79.3,Bimini Big Game Club Resort & Marina
731,Guatire,VE,75.7,broken clouds,10.4762,-66.5427,Parque Residencial Canaima I
732,Placido De Castro,BR,76.44,light rain,-10.3353,-67.1856,Hotel Carioca
735,Arecibo,PR,80.26,scattered clouds,18.4724,-66.7157,Atlantic Sand Oasis
743,Boca De Parita,PA,76.59,overcast clouds,8.0167,-80.45,"Finca Villa Guadalupana, Monagrillo"
747,San Miguel,SV,80.26,clear sky,13.4833,-88.1833,Hotel Tropico Inn San Miguel
750,Tanout,NE,77.94,clear sky,14.9709,8.8879,
754,Oussouye,SN,77.76,overcast clouds,12.485,-16.5469,Auberge du Routard
761,Contamana,PE,75.33,overcast clouds,-7.3333,-75.0167,Shiringal Touristic Park
771,Jizan,SA,77.94,clear sky,17.3333,42.6667,شهدان. ابوالحجر
773,Manadhoo,MV,82.11,scattered clouds,5.7667,73.3833,Reason Inn
777,Palmas Bellas,PA,80.26,overcast clouds,9.2319,-80.0867,Estación de Chagres
780,Bandarbeyla,SO,77.02,overcast clouds,9.4942,50.8122,JABIR HOTEL
782,Meulaboh,ID,76.78,overcast clouds,4.1363,96.1285,Kost Pria
788,Barra Do Corda,BR,75.54,scattered clouds,-5.5,-45.25,Belchior Palace Hotel
802,San Ramon De La Nueva Oran,AR,76.42,overcast clouds,-23.1322,-64.326,Hotel Residencial Centro
817,Beira,MZ,75.29,light rain,-19.8436,34.8389,Beira Terrace Hotel
820,Zinder,NE,78.26,clear sky,13.8072,8.9881,Hotel de Ville
