City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
78,Madarounfa,NE,2021-11-08 04:04:11,13.3087,7.156,77.02,23,9,6.67
79,Hithadhoo,MV,2021-11-08 03:55:25,-0.6,73.0833,82.76,70,98,13.56
80,Keetmanshoop,NA,2021-11-08 03:59:10,-26.5833,18.1333,49.75,60,0,18.79
81,Axim,GH,2021-11-08 03:56:44,4.8699,-2.2405,78.24,88,99,6.89
82,Rudbar,AF,2021-11-08 04:04:13,30.15,62.6,57.47,29,11,2.59
83,Svetlyy,RU,2021-11-08 03:57:16,54.675,20.1347,46.45,83,86,12.86
84,Klaksvik,FO,2021-11-08 03:55:21,62.2266,-6.589,45.52,83,99,25.3
85,Pisco,PE,2021-11-08 03:57:44,-13.7,-76.2167,64.45,82,0,2.3
86,Dikson,RU,2021-11-08 03:50:51,73.5069,80.5464,8.92,95,99,1.39
87,Odweyne,SO,2021-11-08 03:58:15,9.4092,45.064,67.21,38,21,7.94
88,Upernavik,GL,2021-11-08 03:52:36,72.7868,-56.1549,9.75,74,4,6.13
89,Adrar,MR,2021-11-08 03:59:11,20.5022,-10.0711,67.96,26,89,6.93
90,Arraial Do Cabo,BR,2021-11-08 03:55:55,-22.9661,-42.0278,69.76,74,63,6.06
91,Busselton,AU,2021-11-08 03:55:01,-33.65,115.3333,71.04,46,3,7.94
92,Pangoa,PE,2021-11-08 04:04:16,-12.1167,-73.0,68.43,99,100,1.72
93,Girau Do Ponciano,BR,2021-11-08 04:04:16,-9.8842,-36.8289,72.39,88,14,8.63
94,Ivanivka,UA,2021-11-08 04:04:16,46.7208,34.553,53.51,95,99,9.53
95,Touros,BR,2021-11-08 03:55:44,-5.1989,-35.4608,81.5,77,82,11.54
96,Kushmurun,KZ,2021-11-08 03:53:33,52.4503,64.6311,35.01,50,96,11.3
97,Sao Joao Da Barra,BR,2021-11-08 03:54:28,-21.6403,-41.0511,70.54,77,100,5.82
98,Le Portel,FR,2021-11-08 04:04:18,50.7056,1.5757,48.69,83,94,9.71
99,Vestmannaeyjar,IS,2021-11-08 03:56:09,63.4427,-20.2734,42.12,84,100,42.57
100,Tirumullaivasal,IN,2021-11-08 04:04:18,11.2333,79.8333,79.25,87,100,11.56
101,Chipinge,ZW,2021-11-08 04:04:19,-20.1883,32.6236,69.71,38,0,3.58
102,Ilulissat,GL,2021-11-08 03:59:12,69.2167,-51.1,-1.35,70,5,7.52
103,Gulu,UG,2021-11-08 04:04:20,2.7746,32.299,65.5,94,100,2.57
104,Saint George,US,2021-11-08 03:53:38,37.1041,-113.5841,68.34,35,1,1.01
105,Berbera,SO,2021-11-08 04:04:21,10.4396,45.0143,80.22,64,9,3.04
106,Yenagoa,NG,2021-11-08 04:04:21,4.9247,6.2642,75.38,94,76,2.86
107,Abeche,TD,2021-11-08 04:04:22,13.8292,20.8324,75.49,17,0,6.51
108,Sainte-Maxime,FR,2021-11-08 04:04:22,43.3,6.6333,59.95,94,86,6.08
109,Sept-Iles,CA,2021-11-08 04:04:23,50.2001,-66.3821,44.06,85,98,1.99
110,Qaanaaq,GL,2021-11-08 03:55:50,77.484,-69.3632,2.43,70,63,7.85
111,Salalah,OM,2021-11-08 03:57:25,17.0151,54.0924,78.28,62,36,1.7
112,Taman,RU,2021-11-08 04:00:10,45.2117,36.7161,50.32,84,100,14.7
113,Mogadishu,SO,2021-11-08 03:55:46,2.0371,45.3438,78.67,83,40,5.75
114,Tabou,CI,2021-11-08 04:00:41,4.423,-7.3528,77.7,89,97,4.92
115,Diamantino,BR,2021-11-08 04:04:25,-14.4086,-56.4461,69.96,89,86,3.44
116,Mahebourg,MU,2021-11-08 03:55:27,-20.4081,57.7,79.25,78,75,10.36
117,Guerande,FR,2021-11-08 04:04:26,47.3291,-2.4283,48.74,86,6,7.14
118,Uspenka,UA,2021-11-08 04:04:26,48.3903,39.1619,45.55,65,100,8.5
119,Roald,NO,2021-11-08 03:58:22,62.5833,6.1333,37.33,87,100,9.22
120,Saint-Augustin,CA,2021-11-08 03:58:52,51.226,-58.6502,37.67,94,100,5.46
121,Rio Pardo De Minas,BR,2021-11-08 04:04:27,-15.6097,-42.5397,66.88,97,84,3.47
122,Sistranda,NO,2021-11-08 03:56:47,63.7256,8.834,34.9,71,100,10.96
123,Dingle,PH,2021-11-08 04:00:54,10.9995,122.6711,86.5,74,42,12.15
124,Qasigiannguit,GL,2021-11-08 04:01:24,68.8193,-51.1922,12.45,74,6,6.13
125,Gerash,IR,2021-11-08 03:57:59,27.6652,54.1371,51.94,54,0,2.04
126,Shubarkuduk,KZ,2021-11-08 04:04:29,49.1447,56.4872,33.75,40,100,6.53
127,Ponta Do Sol,PT,2021-11-08 03:55:20,32.6667,-17.1,66.83,66,13,5.66
128,Isla Mujeres,MX,2021-11-08 04:04:30,21.2311,-86.731,64.17,63,0,11.36
129,Mangan,IN,2021-11-08 04:01:38,27.5167,88.5333,73.29,51,7,5.3
130,Kuytun,RU,2021-11-08 03:59:33,54.3419,101.5036,31.86,73,100,7.34
131,Cockburn Town,TC,2021-11-08 03:57:09,21.4612,-71.1419,81.7,73,86,5.7
132,Torbay,CA,2021-11-08 03:55:59,47.6666,-52.7314,46.27,87,90,8.05
133,Gariaband,IN,2021-11-08 03:58:22,20.635,82.0614,72.95,44,82,4.76
134,Ipanema,BR,2021-11-08 04:04:32,-30.1391,-51.2244,63.37,76,0,5.75
135,Farakka,IN,2021-11-08 04:04:32,24.8167,87.9,77.16,49,29,6.85
136,Calama,CL,2021-11-08 03:56:24,-22.4667,-68.9333,48.69,17,0,11.5
137,Dindori,IN,2021-11-08 04:04:33,22.95,81.0833,72.5,40,54,6.08
